Ideology,Type,Description,Legalism_Jusnaturalism,Subsidiary_Unitary,Globalism_Sovereignism,Reformist_Revolutionary
ESG-Wokeism,Emerging Movement,"EMERGING MOVEMENT. Contemporary progressive ideology combining critical race theory, intersectionality, and identity-based structural analysis of oppression as developed through Foucault, Crenshaw, DiAngelo, and Kendi. Moderately legalist in operating through institutional rules and policies despite appealing to lived experience, moderately unitary through centralized DEI enforcement, barely reformist in working within institutions while using revolutionary rhetoric, and moderately globalist in transnational application through NGOs and corporations.",0.45,-0.5,0.6,0.15
Fabian Socialism,School of Thought,"SCHOOL OF THOUGHT. British socialist tradition of Fabian Society advocating gradual, parliamentary, evidence-based transition to socialism through permeation of existing institutions. Moderately jusnaturalist in appealing to social justice as natural moral imperative, moderately unitary through centralized state institutions, strongly reformist in rejecting revolutionary means, and barely sovereignist in national focus and skepticism of internationalist utopianism.",-0.45,-0.5,-0.15,0.8
Fascism (Mussolini),Ideology,"IDEOLOGY. Benito Mussolini's Italian Fascism combining integral nationalism, corporatist economics, and totalitarian state worship, rejecting both liberalism and Marxism. Strongly legalist in instrumentalizing law as expression of national will, maximally unitary in subordinating all groups to the state, strongly revolutionary in violent rupture with liberal parliamentary politics, and strongly sovereignist with imperialist expansionism.",0.7,-0.9,-0.75,-0.8
Frankfurt School (Adorno/Marcuse),School of Thought,"SCHOOL OF THOUGHT. Critical theory of Horkheimer, Adorno, and Marcuse subjecting Enlightenment rationality to radical critique in Dialectic of Enlightenment. Strongly jusnaturalist in appeal to human emancipation as suppressed telos, moderately unitary in seeing all institutions as expressions of total administration, moderately revolutionary in aspiration despite pessimism about agency, and moderately globalist in critique of both national and capitalist domination.",-0.7,-0.55,0.35,-0.3
Girondins,Ideology,"IDEOLOGY. Moderate republican faction of French Revolution favoring federal structure, constitutional rule of law, and tempered pace of revolutionary change compared to Jacobins. Barely legalist in defending constitutional procedures, moderately subsidiarian in supporting provincial autonomy, moderately revolutionary in republicanism while opposing radical measures, and barely globalist in international caution.",0.1,0.55,0.1,-0.3
Green Politics,Ideology,"IDEOLOGY. Mainstream environmentalism as represented by European Green parties combining ecological sustainability, social justice, participatory democracy, and nonviolence. Strongly jusnaturalist in grounding ecological ethics in inherent rights of nature and future generations, moderately subsidiarian in local community governance, moderately reformist through electoral politics, and strongly globalist in insisting ecological crises require international cooperation.",-0.65,0.5,0.7,0.45
Guevarism,Ideology,"IDEOLOGY. Ernesto 'Che' Guevara's theory of guerrilla revolution arguing that small armed vanguard operating in countryside can catalyze popular revolution without waiting for objective conditions. Strongly jusnaturalist in appealing to natural dignity of the oppressed, strongly unitary in envisioning revolutionary state, strongly revolutionary in armed struggle method, and moderately globalist in creating 'two, three, many Vietnams' internationalism.",-0.65,-0.7,0.55,-0.75
Habermasian Critical Theory,School of Thought,"SCHOOL OF THOUGHT. Jürgen Habermas's reformulation of Frankfurt School around communicative rationality and discourse ethics, arguing legitimate norms emerge from ideal speech situations free of domination. Moderately jusnaturalist in emancipatory telos inherent in human communication, moderately unitary in defending constitutional democracy, strongly reformist in working within liberal institutions to deepen them, and moderately globalist through cosmopolitan democracy theory.",-0.5,-0.2,0.6,0.65
Hamiltonian Federalism,Ideology,"IDEOLOGY. Political philosophy of Alexander Hamilton representing the unitary-nationalist wing of the American founding, distinct from Madison's subsidiarian federalism. Envisions powerful central government with national bank, funded public debt, protective tariffs, and standing army, seeing consolidated federal sovereignty as prerequisite for national greatness. Strongly legalist in constitutional grounding, moderately unitary in preferring centralized federal power, barely reformist in working through institutional channels, and strongly sovereignist in mercantilist economic nationalism.",0.75,-0.65,-0.75,0.2
Hayekian Austrianism,School of Thought,"SCHOOL OF THOUGHT. Friedrich Hayek's branch of Austrian School arguing that price system and evolved legal institutions encode more knowledge than any central planner can possess. Barely legalist in appeal to evolved natural order as standard of legitimate institutions, strongly subsidiarian in radical anti-statism, moderately reformist through intellectual persuasion, and moderately globalist in free trade and international rule of law.",0.05,0.8,0.35,0.35
Hobbesian Absolutism,Ideology,"IDEOLOGY. Political philosophy of Thomas Hobbes grounding authority in social contract establishing absolute sovereign as only escape from state of nature's war of all against all. Strongly legalist as justice is defined entirely by sovereign's law with no appeal to higher authority, maximally unitary as sovereignty must be absolute and indivisible, moderately reformist in accepting any established sovereign maintaining order, and moderately sovereignist in states existing in state of nature with each other while indifferent to national identity.",0.85,-0.95,-0.6,0.4
Islamic Republicanism (Khomeini),Ideology,"IDEOLOGY. Political theory of Ayatollah Khomeini's velayat-e faqih holding that Islamic law derived from divine natural law should govern all political life through theocratic state led by senior clerics. Moderately jusnaturalist in grounding authority in Islamic natural law, strongly unitary in theocratic state structure, moderately revolutionary in 1979 overthrow of Shah, and strongly sovereignist in anti-imperialist resistance to Western liberal norms.",-0.6,-0.85,-0.75,-0.55
Jacobinism,Ideology,"IDEOLOGY. Radical republican ideology of the French Revolution's most uncompromising faction led by Robespierre, combining absolute faith in legislative sovereignty and positive law with drive to remake society through revolutionary terror. Strongly legalist in implementing the General Will through Republic's laws, maximally unitary in anti-federalism and centralized power, maximally revolutionary in violent transformation, and moderately globalist in willingness to export revolutionary ideals through military force.",0.7,-0.9,0.45,-0.85
Jeffersonian Democracy,Ideology,"IDEOLOGY. Thomas Jefferson's political philosophy emphasizing agrarian republicanism, minimal government, states' rights, and individual liberty. Strongly jusnaturalist as Declaration of Independence is natural law document, strongly subsidiarian in preferring local governance, moderately reformist through democratic institutions while retaining right of revolution, and moderately sovereignist in republican self-determination with openness to universal liberty principles.",-0.65,0.7,-0.3,0.4
Kemalism,Ideology,"IDEOLOGY. Founding ideology of Turkish Republic under Mustafa Kemal Atatürk, combining radical laicist modernization, strong centralized state authority, and Turkish ethnic nationalism. Strongly legalist in using positive law to dismantle Ottoman religious structures and impose Western-style legal framework, strongly unitary in centralized state control, strongly revolutionary in pace of transformation, and strongly sovereignist in Turkish national focus.",0.8,-0.85,-0.7,-0.7
Left-Libertarian Municipalism,Ideology,"IDEOLOGY. Murray Bookchin's philosophy of libertarian municipalism and democratic confederalism, advocating nested councils of direct democracy at municipal level as foundation of free society. Moderately jusnaturalist in grounding politics in ecological and human nature, strongly subsidiarian in radical decentralization, moderately revolutionary in rejection of nation-state, and barely globalist in internationalist dimension through Rojava influence.",-0.55,0.85,0.15,-0.6
Liberal Conservatism (Burke/Acton),School of Thought,"SCHOOL OF THOUGHT. Centre-right tradition combining economic liberalism with social conservatism, championed by the British Tories, defending market institutions and individual freedoms while valuing tradition and gradual change. Moderately legalist in respecting constitutional procedures, moderately subsidiarian in preferring local and market solutions, moderately reformist in cautious change, and moderately sovereignist in accepting international cooperation while resisting supranational authority.",0.3,0.5,-0.3,0.25
Libertarian Socialism (Paris Commune),Ideology,"IDEOLOGY. Broad family of left-wing philosophies combining socialist economics with libertarian anti-statism, including council communism and non-Marxist socialisms. Strongly jusnaturalist in grounding workers' rights in natural autonomy, strongly subsidiarian in self-managed enterprises and federated communities, strongly revolutionary in transformation of productive relations, and moderately globalist in universalist class analysis.",-0.75,0.8,0.4,-0.75
Madison-Jay Federalism,Political Ethics,"POLITICAL ETHICS. Madison and Jay wing of American founding as expressed in The Federalist Papers, designing constitutional order of divided, checked, and balanced powers as primary safeguard of liberty. Strongly legalist in constitutional architecture, moderately subsidiarian in federal division of powers, moderately revolutionary in break with British sovereignty, and moderately sovereignist as architects of new national self-determination.",0.65,0.45,-0.45,-0.4
Maoism (Cultural Revolution),Ideology,"IDEOLOGY. Mao Zedong's radicalized ideology during Cultural Revolution emphasizing permanent revolution, mass mobilization against elites, and primacy of political will over material conditions. Moderately jusnaturalist in dialectical theory of historical contradiction, maximally unitary through party-state and cult of personality, maximally revolutionary in violent transformation, and moderately sovereignist in exporting revolution while asserting Chinese self-determination.",-0.45,-0.9,-0.3,-0.9
Marxism-Leninism,Ideology,"IDEOLOGY. Official ideology of Soviet state combining Marx's historical materialism with Lenin's vanguard party doctrine. Moderately jusnaturalist in appealing to natural historical laws of class struggle, strongly unitary through centralized party-state, maximally revolutionary in total transformation, and barely sovereignist in oscillating between internationalist class solidarity and socialist realpolitik.",-0.4,-0.85,-0.1,-0.85
Misesian Austrianism,School of Thought,"SCHOOL OF THOUGHT. Ludwig von Mises's branch of Austrian economics grounding economics in praxeology and defending laissez-faire capitalism through rigorous deductive reasoning from axioms of rational choice. Strongly legalist in insisting on contract law and property rights as necessary framework for markets, moderately subsidiarian in limiting state economic intervention, moderately reformist in pursuing change through intellectual persuasion, and moderately globalist in free trade commitments.",0.75,0.6,0.6,0.35
Nasserism,Ideology,"IDEOLOGY. Pan-Arab socialist ideology of Egyptian President Gamal Abdel Nasser, combining Arab nationalism, state-led economic development, anti-imperialism, and regional unification aspirations. Moderately legalist in using Egyptian state apparatus, strongly unitary and centralist, barely revolutionary in sweeping nationalizations after military coup, and moderately sovereignist between pan-Arab regionalism and anti-Western independence.",0.35,-0.8,-0.2,-0.15
Nazism (Hitler),Ideology,"IDEOLOGY. Adolf Hitler's National Socialist ideology combining extreme racial nationalism, antisemitism, totalitarian state power, and biological determinism. Moderately legalist in using laws as tools of racial engineering despite invoking mythologized natural order, maximally unitary through Führerprinzip, maximally revolutionary in violent transformation, and maximally sovereignist in ethnic nationalism and expansionism.",0.6,-0.95,-0.85,-0.9
Neoliberalism (Thatcher/Reagan),School of Thought,"SCHOOL OF THOUGHT. Political-economic program of market liberalization, privatization, deregulation, and fiscal austerity championed by Thatcher and Reagan in the 1980s. Moderately legalist in using state power to lock in market rules, moderately subsidiarian in reducing state economic footprint, barely reformist through electoral politics, and strongly globalist in promoting free trade and financial liberalization.",0.55,0.6,0.8,0.15
One-Nation Toryism (Disraeli),Ideology,"IDEOLOGY. British conservative tradition developed by Benjamin Disraeli combining aristocratic paternalism with social reform to maintain class harmony and national unity. Barely jusnaturalist in appealing to organic social bonds and traditional duties, moderately unitary in using parliamentary power to protect workers against industrial capitalism, moderately reformist through gradual social legislation, and moderately sovereignist through British imperial nationalism rejecting both laissez-faire individualism and revolutionary socialism.",-0.2,-0.4,-0.5,0.5
Ordoliberalism (Freiburg School),School of Thought,"SCHOOL OF THOUGHT. More federalist and subsidiarian strand of the Freiburg School emphasizing that competitive order should be maintained through dispersed power structures rather than top-down state direction. Moderately legalist while drawing on subsidiarian Catholic social thought, moderately subsidiarian in market decentralization, moderately reformist through gradual development, and moderately globalist in European integration.",0.4,0.35,0.4,0.4
Ordoliberalism (post-WWII Germany),School of Thought,"SCHOOL OF THOUGHT. German economic thought foundational to the post-war social market economy, developed at Freiburg. Markets require a strong legal and institutional framework designed and maintained by the state, rejecting both laissez-faire and central planning. Strongly legalist in trusting expert-designed constitutional rules over natural law, moderately unitary in accepting centralized regulatory frameworks, moderately reformist through gradual institutional development, and moderately globalist in accepting supranational legal frameworks like the EU.",0.8,-0.35,0.3,0.3
Pastoral Liberation Theology (Gutiérrez),Ideology,"IDEOLOGY. Mainstream current of Latin American Liberation Theology emphasizing preferential option for the poor through pastoral communities, base ecclesial communities, and nonviolent social advocacy. Strongly jusnaturalist in Catholic social teaching foundations, barely unitary in working within Church and democratic structures, moderately reformist in institutional channels, and barely globalist in universal solidarity while rooted in national contexts.",-0.65,-0.15,0.2,0.55
Pinochetism (Unitarian Neoliberalism),Ideology,"IDEOLOGY. Governing framework of Augusto Pinochet's military dictatorship in Chile, combining centralized state terror and anti-communist repression with radical free-market economics designed by the Chicago Boys. Moderately legalist in using the engineered 1980 Constitution to permanently lock in capitalist property rights, strongly unitary politically through a centralized military junta despite its economic privatizations, moderately globalist in forcibly integrating the Chilean economy into international free trade, and strongly revolutionary in its violent military coup and radical structural destruction of the previous socialist state.",0.5,-0.75,0.4,-0.8
Popperian Liberalism (Gates/Soros),Philosophy,"PHILOSOPHY. Political philosophy derived from Karl Popper's Open Society and Its Enemies as applied by George Soros, grounding legitimacy in epistemological argument that human knowledge is fallible. Barely jusnaturalist in appeal to open society as natural condition for flourishing, barely unitary in relying on state and supranational institutions, moderately reformist through philanthropic civil society funding, and strongly globalist in explicit identification of nationalism as primary threat.",-0.2,-0.15,0.8,0.45
Populist Agrarianism,Ideology,"IDEOLOGY. Political tradition of 19th-century American Populism and rural movements defending interests of small farmers against railroad corporations, financial elites, and industrial capitalism. Moderately jusnaturalist in natural rights and dignity of producers, strongly subsidiarian in local and cooperative organization, moderately reformist through democratic electoral means, and moderately sovereignist in skepticism of cosmopolitan financial networks.",-0.6,0.65,-0.55,0.4
Progressive Statism (Roosevelt/Wilson),Political Ethics,"POLITICAL ETHICS. Governing philosophy of early 20th-century American Progressivism under Roosevelt and Wilson, holding that the modern industrial state required strong federal regulatory institutions staffed by scientific experts. Strongly legalist in grounding new agencies in constitutional authority, moderately unitary in expanding federal power over states and corporations, barely reformist in working through institutional channels, and barely globalist in maintaining primarily domestic focus with limited international engagement.",0.7,-0.5,-0.1,0.15
Republican MAGA/Trumpism,Emerging Movement,"EMERGING MOVEMENT. Political movement centered on Donald Trump combining white working-class grievance, anti-establishment rhetoric, and executive power consolidation. Barely legalist in selectively invoking constitutional authority while challenging judicial institutions, moderately unitary through unitary executive theory and centralized presidential authority, moderately revolutionary in explicit framing as rupture with liberal establishment, and maximally sovereignist in America First trade protectionism and withdrawal from multilateral agreements.",0.15,-0.6,-0.85,-0.55
Revolutionary Anarcho-Syndicalism (CNT-FAI),Ideology,"IDEOLOGY. Revolutionary syndicalism of Spanish anarchist movement (CNT-FAI) which during Civil War collectivized significant portions of Catalan and Aragonese economies, representing the most successful large-scale anarchist experiment. Strongly jusnaturalist in appeals to workers' natural autonomy, strongly subsidiarian in federated worker councils, maximally revolutionary in immediate collectivization through armed resistance, and moderately sovereignist in Spanish national focus despite international connections.",-0.8,0.85,-0.3,-0.85
Revolutionary Liberation Theology (Torres/Boff),Ideology,"IDEOLOGY. Radical wing of Latin American Liberation Theology represented by Camilo Torres who joined guerrillas and Christian base communities supporting armed revolutionary movements. Strongly jusnaturalist in dignity of poor demanding transformation, moderately unitary in revolutionary state serving people, strongly revolutionary in arguing structural sin requires revolutionary rupture, and moderately sovereignist in anti-imperialist framing.",-0.75,-0.6,-0.45,-0.6
Romantic Nationalism (Mazzini/Herder),Ideology,"IDEOLOGY. Nineteenth-century ideology combining Romantic emphasis on organic cultural identity with revolutionary struggles for national self-determination as exemplified by Mazzini's Young Italy and Herder's Volksgeist philosophy. Strongly jusnaturalist in grounding legitimacy in natural pre-political spirit of each people with unique historical missions, moderately unitary in seeking unified sovereign nation-states to replace multi-ethnic empires, moderately revolutionary in conspiracies and uprisings aiming at constitutional republics, and strongly sovereignist in asserting each nation's right to self-governance while envisioning peaceful cooperation among free nations.",-0.7,-0.3,-0.65,-0.6
Rousseauian Republicanism,Political Ethics,"POLITICAL ETHICS. Political philosophy of Jean-Jacques Rousseau grounding legitimate authority in the general will as collective expression of people's common good transcending individual interests. Moderately jusnaturalist in appealing to natural freedom and equality corrupted by civilization, strongly unitary in rejecting intermediary bodies between citizen and sovereign, moderately revolutionary in critique of corrupt existing society, and strongly sovereignist in emphasis on particular character of each republic and hostility to cosmopolitanism.",-0.6,-0.7,-0.75,-0.5
Social Catholicism (Rerum Novarum),Political Ethics,"POLITICAL ETHICS. Tradition of Catholic social teaching from Pope Leo XIII's Rerum Novarum (1891) onward, defending human dignity, workers' rights, and common good against both unbridled capitalism and socialist statism. Strongly jusnaturalist as all teaching derives from natural law, barely subsidiarian in decisions at lowest effective level, moderately reformist through Church institutions and Christian democratic parties, and barely globalist in universal moral scope.",-0.7,0.1,0.2,0.4
Social Democracy (post-Godesberg),School of Thought,"SCHOOL OF THOUGHT. Mainstream center-left tradition after SPD's 1959 Bad Godesberg program renounced Marxist revolution and embraced mixed economies and parliamentary democracy. Moderately jusnaturalist in grounding social rights in human dignity, moderately unitary through centralized welfare states, strongly reformist exclusively through electoral means, and moderately globalist in supporting international institutions and European integration.",-0.35,-0.45,0.5,0.75
Social Liberalism (Nordic Welfare-state),Ideology,"IDEOLOGY. Nordic and progressive liberal tradition, championed by John M. Keynes, Gösta Rehn and Rudolf Meidner, combining individual rights with redistributive welfare, holding that genuine liberty requires material security. Barely legalist while implementing through constitutional welfare states, moderately subsidiarian through decentralized service delivery, moderately reformist in electoral politics, and moderately globalist through Nordic internationalism.",0.2,0.35,0.4,0.45
Stalinism/Third Worldist Theory,Ideology,"IDEOLOGY. A Third World–adapted Stalinist doctrine emphasizing centralized party rule, rapid state-led industrialization, anti-imperialist struggle, and the mobilization of national liberation movements as instruments of socialist transformation in post-colonial states. Strongly legalist in grounding authority in the vanguard party and state decree, maximally unitary in centralized command economy and political hierarchy, strongly sovereignist in emphasizing national sovereignty against imperialism, and strongly revolutionary in violent overthrow of colonial regimes.",0.85,-0.9,-0.75,-0.85
Taoism,Philosophy,"PHILOSOPHY. Ancient Chinese philosophical tradition associated with Laozi and Zhuangzi, grounding political thought in the Tao (Way) as the spontaneous natural order underlying all existence. Advocates wu wei (non-action) as the supreme governing principle, arguing that coercive institutions, positive laws, and ambitious statecraft corrupt the natural harmony of communities. The ideal polity is a small, self-sufficient village where governance is so light it goes unnoticed. Maximally jusnaturalist in subordinating all human law to the Tao as transcendent natural order, strongly subsidiarian through radical preference for minimal, decentralized governance rooted in local community, barely reformist in advising withdrawal and spontaneity over institutional engagement, and barely sovereignist in rejecting both imperial expansion and cosmopolitan ambition equally in favor of simple, self-contained communities.",-0.85,0.8,-0.1,0.1
Technocratic Developmentalism (Lee Kuan Yew),Ideology,"IDEOLOGY. Governance philosophy of Singapore under Lee Kuan Yew, combining strict rule of law, meritocratic technocracy, and centralized state direction of economic development. Rejects Western liberal individualism in favor of Asian communitarian values, using legal institutions as instruments of social engineering and economic modernization. Strongly legalist in procedural rigor, strongly unitary in centralized state control, barely reformist in maintaining regime stability, and moderately sovereignist in resisting international normative pressure on human rights.",0.7,-0.85,-0.65,0.1
Technocratic Supranationalism (UN/EU),Emerging Movement,"EMERGING MOVEMENT. Contemporary governing ideology prevalent in supranational institutions like the UN and the EU, emphasizing evidence-based policymaking, expert authority, and legal-procedural governance over democratic deliberation. Strongly legalist in governance through regulation and treaty law, strongly unitary in preferring harmonized centralized standards, barely reformist in incremental policy adjustments, and strongly globalist in commitment to international institutions and open economic orders.",0.7,-0.7,0.85,0.15
Thomistic Natural Law,Philosophy,"PHILOSOPHY. Political philosophy derived from Thomas Aquinas holding that human law must conform to natural law which participates in eternal divine law. Maximally jusnaturalist as foundational source of Western natural law theory, barely unitary in recognizing intermediary bodies while endorsing ordered hierarchy, moderately reformist in working through moral persuasion, and barely globalist in universalist moral scope transcending nation-state categories.",-0.9,-0.05,0.15,0.3
Trotskyism,Ideology,"IDEOLOGY. Leon Trotsky's revolutionary doctrine of permanent revolution arguing that socialist revolution cannot be completed within single country and must spread internationally. Moderately jusnaturalist in universal class emancipation as historical necessity, strongly unitary through workers' state, maximally revolutionary in violent overthrow, and strongly globalist in opposing Stalin's socialism in one country.",-0.5,-0.75,0.8,-0.9
Ubuntu Philosophy,Philosophy,"PHILOSOPHY. Southern African political-philosophical tradition expressed in 'I am because we are', emphasizing relational personhood, communal responsibility, and restorative justice. Moderately jusnaturalist in grounding dignity in communal belonging, moderately subsidiarian in privileging community over state, moderately reformist in reconciliation over retribution, and moderately sovereignist in African communitarian framing.",-0.55,0.4,-0.2,0.5
Zapatismo,Ideology,"IDEOLOGY. Indigenous revolutionary movement of EZLN in Chiapas combining Mayan communal traditions, libertarian socialism, and post-Marxist autonomy politics. Strongly jusnaturalist in grounding claims in indigenous natural rights, strongly subsidiarian in demanding local autonomous governance, moderately revolutionary in 1994 armed uprising, and barely globalist in internationalist networking while maintaining local focus.",-0.7,0.8,0.2,-0.35
